Date,Open,High,Low,Close,Adj Close,Volume
2021-07-29,1.390821,1.398210,1.389989,1.390685,1.390685,0
2021-07-30,1.396433,1.398406,1.389719,1.396433,1.396433,0
2021-08-02,1.389661,1.393340,1.388503,1.389622,1.389622,0
2021-08-03,1.389101,1.394000,1.388600,1.389275,1.389275,0
2021-08-04,1.391595,1.395693,1.390144,1.391788,1.391788,0
2021-08-05,1.389024,1.394758,1.387598,1.389043,1.389043,0
2021-08-06,1.392777,1.393320,1.386251,1.392758,1.392758,0
2021-08-09,1.386770,1.389352,1.384658,1.386847,1.386847,0
2021-08-10,1.384850,1.387059,1.383375,1.384907,1.384907,0
2021-08-11,1.383700,1.387213,1.380529,1.383604,1.383604,0
2021-08-12,1.386847,1.387809,1.382361,1.386693,1.386693,0
2021-08-13,1.381158,1.386213,1.379310,1.381158,1.381158,0
2021-08-16,1.386636,1.387424,1.382973,1.386386,1.386386,0
2021-08-17,1.384275,1.384275,1.373664,1.384275,1.384275,0
2021-08-18,1.374004,1.377031,1.373400,1.374042,1.374042,0
2021-08-19,1.374438,1.374967,1.365411,1.374382,1.374382,0
2021-08-20,1.363178,1.364257,1.360359,1.363085,1.363085,0
2021-08-23,1.362843,1.372006,1.362843,1.362528,1.362528,0
2021-08-24,1.372458,1.374759,1.369582,1.372476,1.372476,0
2021-08-25,1.372778,1.374287,1.369919,1.372552,1.372552,0
2021-08-26,1.376463,1.376955,1.371065,1.376652,1.376652,0
2021-08-27,1.369600,1.378094,1.368101,1.370238,1.370238,0
2021-08-30,1.376519,1.377676,1.373626,1.376300,1.376300,0
2021-08-31,1.376065,1.380434,1.374419,1.376046,1.376046,0
2021-09-01,1.375370,1.379824,1.373174,1.375340,1.375340,0
2021-09-02,1.377410,1.383585,1.376823,1.377164,1.377164,0
2021-09-03,1.383796,1.387463,1.381979,1.383681,1.383681,0
2021-09-06,1.385930,1.386001,1.381941,1.385925,1.385925,0
2021-09-07,1.384026,1.385694,1.377012,1.383949,1.383949,0
2021-09-08,1.377980,1.379120,1.372853,1.377980,1.377980,0
2021-09-09,1.376652,1.385406,1.375400,1.376766,1.376766,0
2021-09-10,1.383892,1.388889,1.383432,1.383968,1.383968,0
2021-09-13,1.384026,1.385233,1.379786,1.384083,1.384083,0
2021-09-14,1.384121,1.391324,1.383126,1.383815,1.383815,0
2021-09-15,1.380853,1.385195,1.379310,1.381025,1.381025,0
2021-09-16,1.384696,1.385042,1.376463,1.384888,1.384888,0
2021-09-17,1.379938,1.381406,1.374363,1.379701,1.379701,0
2021-09-20,1.372872,1.372985,1.364741,1.372966,1.372966,0
2021-09-21,1.366064,1.369357,1.364219,1.366270,1.366270,0
2021-09-22,1.365934,1.367802,1.361786,1.365747,1.365747,0
2021-09-23,1.362008,1.374949,1.361285,1.361711,1.361711,0
2021-09-24,1.372194,1.373770,1.365952,1.372250,1.372250,0
2021-09-27,1.366942,1.372872,1.365934,1.366904,1.366904,0
2021-09-28,1.370099,1.371780,1.352539,1.370163,1.370163,0
2021-09-29,1.354151,1.355454,1.342408,1.354224,1.354224,0
2021-09-30,1.342624,1.351717,1.341742,1.342642,1.342642,0
2021-10-01,1.346965,1.357349,1.343634,1.346983,1.346983,0
2021-10-04,1.357092,1.363977,1.353363,1.357092,1.357092,0
2021-10-05,1.360766,1.365001,1.358585,1.360748,1.360748,0
2021-10-06,1.362565,1.363141,1.354463,1.362769,1.362769,0
2021-10-07,1.359268,1.363736,1.357184,1.359213,1.359213,0
2021-10-08,1.361953,1.365374,1.358493,1.362027,1.362027,0
2021-10-11,1.361823,1.367428,1.361285,1.361656,1.361656,0
2021-10-12,1.359287,1.363736,1.357036,1.359065,1.359065,0
2021-10-13,1.357718,1.364759,1.357700,1.357884,1.357884,0
2021-10-14,1.367073,1.373438,1.365896,1.366923,1.366923,0
2021-10-15,1.366867,1.377354,1.366867,1.366886,1.366886,0
2021-10-18,1.376008,1.376406,1.371084,1.376159,1.376159,0
2021-10-19,1.373815,1.383200,1.373815,1.373645,1.373645,0
2021-10-20,1.379482,1.382361,1.374325,1.379320,1.379320,0
2021-10-21,1.382361,1.383399,1.378721,1.382300,1.382300,0
2021-10-22,1.379120,1.381425,1.374306,1.379120,1.379120,0
2021-10-25,1.376652,1.379177,1.374344,1.376273,1.376273,0
2021-10-26,1.376614,1.382954,1.375819,1.376444,1.376444,0
2021-10-27,1.376842,1.378037,1.371084,1.376614,1.376614,0
2021-10-28,1.373249,1.381521,1.372307,1.373287,1.373287,0
2021-10-29,1.380072,1.380453,1.368176,1.380072,1.380072,0
2021-11-01,1.368644,1.369244,1.364238,1.368326,1.368326,0
2021-11-02,1.365934,1.366718,1.361081,1.365542,1.365542,0
2021-11-03,1.361748,1.366456,1.361137,1.361739,1.361739,0
2021-11-04,1.369357,1.369469,1.347320,1.369488,1.369488,0
2021-11-05,1.350950,1.350986,1.342588,1.350860,1.350860,0
2021-11-08,1.348963,1.357976,1.345189,1.349127,1.349127,0
2021-11-09,1.356374,1.360544,1.352631,1.356451,1.356451,0
2021-11-10,1.356098,1.356668,1.346838,1.356000,1.356000,0
2021-11-11,1.341274,1.343274,1.337023,1.341274,1.341274,0
2021-11-12,1.336720,1.342282,1.335399,1.336648,1.336648,0
2021-11-15,1.341688,1.344954,1.340393,1.341706,1.341706,0
2021-11-16,1.341094,1.347346,1.341094,1.340842,1.340842,0
2021-11-17,1.342426,1.349018,1.340267,1.342462,1.342462,0
2021-11-18,1.348963,1.351390,1.346540,1.349164,1.349164,0
2021-11-19,1.349837,1.350986,1.340842,1.349965,1.349965,0
2021-11-22,1.343360,1.344990,1.339226,1.343454,1.343454,0
2021-11-23,1.339764,1.340842,1.334419,1.339764,1.339764,0
2021-11-24,1.337578,1.338975,1.332481,1.337596,1.337596,0
2021-11-25,1.333102,1.335301,1.330654,1.333067,1.333067,0
2021-11-26,1.331345,1.334846,1.328057,1.331416,1.331416,0
2021-11-29,1.333956,1.336309,1.329027,1.334098,1.334098,0
2021-11-30,1.331664,1.336934,1.320620,1.331505,1.331505,0
2021-12-01,1.329593,1.335113,1.327721,1.329593,1.329593,0
2021-12-02,1.327933,1.333262,1.327246,1.328000,1.328000,0
2021-12-03,1.330070,1.330814,1.321144,1.329999,1.329999,0
2021-12-06,1.323294,1.328551,1.322384,1.323732,1.323732,0
2021-12-07,1.326418,1.328974,1.321056,1.326436,1.326436,0
2021-12-08,1.324854,1.326260,1.317471,1.324609,1.324609,0
2021-12-09,1.321004,1.321702,1.317627,1.321004,1.321004,0
2021-12-10,1.322489,1.327105,1.319087,1.322401,1.322401,0
2021-12-13,1.325803,1.326876,1.322244,1.325715,1.325715,0
2021-12-14,1.321336,1.325557,1.319087,1.321353,1.321353,0
2021-12-15,1.323136,1.328286,1.320812,1.323051,1.323051,0
2021-12-16,1.326401,1.337327,1.324310,1.326313,1.326313,0
2021-12-17,1.332427,1.334045,1.325768,1.332374,1.332374,0
2021-12-20,1.322996,1.324345,1.317402,1.322944,1.322944,0
2021-12-21,1.320987,1.326119,1.319975,1.321000,1.321000,0
2021-12-22,1.326999,1.336237,1.324135,1.326964,1.326964,0
2021-12-23,1.335203,1.343725,1.334508,1.335203,1.335203,0
2021-12-24,1.340914,1.342570,1.339405,1.340662,1.340662,0
2021-12-27,1.340520,1.344070,1.339226,1.340430,1.340430,0
2021-12-28,1.344447,1.346257,1.341832,1.344267,1.344267,0
2021-12-29,1.343400,1.349928,1.340914,1.343328,1.343328,0
2021-12-30,1.349764,1.352155,1.345533,1.349879,1.349879,0
2021-12-31,1.349892,1.354848,1.346747,1.349837,1.349837,0
2022-01-03,1.352228,1.353180,1.343274,1.352228,1.352228,0
2022-01-04,1.348279,1.355675,1.346076,1.348327,1.348327,0
2022-01-05,1.353052,1.357331,1.352265,1.353143,1.353143,0
2022-01-06,1.355546,1.355748,1.349109,1.355565,1.355565,0
2022-01-07,1.353400,1.358345,1.352942,1.353363,1.353363,0
2022-01-10,1.359083,1.360193,1.353418,1.359231,1.359231,0
2022-01-11,1.358170,1.362416,1.356282,1.358031,1.358031,0
2022-01-12,1.363401,1.369938,1.362212,1.363327,1.363327,0
2022-01-13,1.370689,1.374949,1.370558,1.370999,1.370999,0
2022-01-14,1.371291,1.374193,1.366770,1.371366,1.371366,0
2022-01-17,1.367353,1.368899,1.363866,1.367353,1.367353,0
2022-01-18,1.364800,1.366120,1.357626,1.364800,1.364800,0
2022-01-19,1.360082,1.364815,1.358936,1.360026,1.360026,0
2022-01-20,1.360952,1.366158,1.360156,1.360859,1.360859,0
2022-01-21,1.360026,1.360359,1.354757,1.359767,1.359767,0
2022-01-24,1.355491,1.356668,1.344303,1.355583,1.355583,0
2022-01-25,1.348981,1.350056,1.343707,1.348927,1.348927,0
2022-01-26,1.351041,1.352448,1.349418,1.351078,1.351078,0
2022-01-27,1.346783,1.346783,1.336059,1.346801,1.346801,0
2022-01-28,1.338849,1.343201,1.336559,1.338832,1.338832,0
2022-01-31,1.340213,1.345424,1.339531,1.340339,1.340339,0
2022-02-01,1.344267,1.351406,1.343580,1.344538,1.344538,0
2022-02-02,1.352393,1.358493,1.351717,1.352539,1.352539,0
2022-02-03,1.356447,1.362546,1.353913,1.356502,1.356502,0
2022-02-04,1.359619,1.361656,1.350804,1.359841,1.359841,0
2022-02-07,1.353363,1.355032,1.349182,1.353345,1.353345,0
2022-02-08,1.353840,1.356668,1.350986,1.353781,1.353781,0
2022-02-09,1.354812,1.358825,1.353821,1.354757,1.354757,0
2022-02-10,1.353400,1.364331,1.352539,1.353327,1.353327,0
2022-02-11,1.354977,1.360878,1.351534,1.355179,1.355179,0
2022-02-14,1.357018,1.357220,1.349582,1.356963,1.356963,0
2022-02-15,1.353327,1.356686,1.349018,1.353290,1.353290,0
2022-02-16,1.354115,1.358991,1.353913,1.354115,1.354115,0
2022-02-17,1.358234,1.363643,1.355803,1.358493,1.358493,0
2022-02-18,1.361544,1.364070,1.357442,1.361878,1.361878,0
2022-02-21,1.359179,1.363829,1.358714,1.359342,1.359342,0
2022-02-22,1.359527,1.360544,1.354005,1.359601,1.359601,0
2022-02-23,1.359083,1.361953,1.354922,1.358936,1.358936,0
2022-02-24,1.354463,1.354738,1.327598,1.354573,1.354573,0
2022-02-25,1.337220,1.343905,1.336898,1.337327,1.337327,0
2022-02-28,1.337006,1.343111,1.334258,1.337327,1.337327,0
2022-03-01,1.342282,1.343725,1.331203,1.342282,1.342282,0
